Subject	Session	lambda	explore_scram	explore_fear	explore_happy	alphaG	alphaL	K	nu	ignore	rho	SSE
10644.00000	1.00000	0.43081	1404.74434	224.56877	1496.17249	0.18333	0.28193	1027.12011	0.28870	4942.60330	325.95343	8532.40648
10717.00000	1.00000	0.35079	3701.96269	0.00000	1082.40282	0.22605	0.06428	1534.45882	0.33442	1138.32155	59.74588	10027.89099
10811.00000	1.00000	0.25841	0.00000	1451.91158	3863.29682	0.01000	0.15200	1444.19002	0.24761	2578.99193	0.00000	10343.41144
10814.00000	1.00000	0.48849	1913.03807	0.00000	0.00000	0.45433	0.37798	909.44192	0.28560	3422.62519	275.53652	6419.01013
10841.00000	1.00000	0.41384	0.00000	0.00000	0.00000	0.01000	0.19338	850.14478	0.15353	4044.26016	483.90340	12347.25020
10895.00000	1.00000	0.21700	0.00000	152.05616	6065.01797	0.01000	0.16629	1596.53474	0.00000	1217.87543	257.33107	8209.56881
10910.00000	1.00000	0.50579	0.00000	475.39967	0.00000	0.01000	0.21249	808.19413	0.14893	4691.16202	647.98685	9181.79742
10911.00000	1.00000	0.24780	3779.06718	1742.40060	1434.60145	0.01000	0.08406	1175.92791	0.12970	4758.25088	0.00000	10556.92664
10941.00000	1.00000	0.43015	530.60585	0.00000	668.77128	0.12050	0.09831	1309.37013	0.47348	2976.77560	19.77093	6327.22597
10972.00000	1.00000	0.17253	993.45391	0.00000	1377.20889	0.29164	0.38619	1215.74498	0.04325	4610.67187	240.73483	6239.82731
11027.00000	1.00000	0.40281	0.00000	0.00000	0.00000	0.01000	0.06072	1010.10670	0.20442	3758.73152	2.22411	10632.35509
11046.00000	1.00000	0.64194	212.42122	180.13816	0.00000	0.05997	0.01000	727.40396	0.22126	1054.37680	172.61190	9656.49475
11059.00000	1.00000	0.32428	0.00000	0.00000	2357.97950	0.01000	0.01000	1155.29995	0.05454	2659.92069	213.51916	9268.89068
11126.00000	1.00000	0.61773	852.88897	414.89955	0.00000	0.30847	0.25046	876.48863	0.22895	4872.12866	224.24742	8728.61166
11131.00000	1.00000	0.39125	481.57975	0.00000	2292.05863	0.01000	0.23159	695.92196	0.23008	3435.86288	0.00000	9197.72288
11138.00000	1.00000	0.34235	1441.41082	0.00000	0.00000	0.29601	0.30039	1350.29541	0.21808	1210.23433	0.00000	11741.42193
